diggCount,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,searchQuery,videoMeta_duration,ad,ecuador,publicidad,gratis,publi,anuncio,free,quito,ofertas,local,tienda,comercial,machala,promo,ambato,loja,comerciales,santodomingoecuador,guayaquil,cuenca
301100,17,1,0,540,17,59000000000.0,1,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901500,17,0,0,617,17,59000000000.0,1,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559200,17,1,0,617,17,59000000000.0,1,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100000,17,1,0,617,17,59000000000.0,1,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211800,17,1,0,617,17,59000000000.0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458600,17,1,0,85,17,59000000000.0,1,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,17,0,0,191,17,59000000000.0,1,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840300,17,1,0,617,17,59000000000.0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
765500,17,1,0,617,17,59000000000.0,1,86,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,16,0,0,608,16,33700000000.0,1,73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,16,0,0,540,16,33700000000.0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105700,16,1,0,608,16,33700000000.0,1,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8077,16,0,0,608,16,33700000000.0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,16,0,0,540,16,33700000000.0,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103700,16,0,0,610,16,33700000000.0,1,63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,16,0,0,608,16,33700000000.0,1,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180200,16,0,0,524,16,33700000000.0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276100,16,0,0,617,16,33700000000.0,1,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1397,16,0,0,608,16,33700000000.0,1,86,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,16,0,0,540,16,33700000000.0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,16,0,0,608,16,33700000000.0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219900,16,1,0,276,16,33700000000.0,1,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,16,0,0,540,16,33700000000.0,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
555,16,0,0,608,16,33700000000.0,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,16,0,0,593,16,33700000000.0,1,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,16,0,0,257,16,33700000000.0,1,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,16,0,0,297,16,33700000000.0,1,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65800,16,1,0,608,16,33700000000.0,1,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7475,16,0,0,608,16,33700000000.0,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3923,16,0,0,608,16,33700000000.0,1,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,0,0,608,16,33700000000.0,1,79,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,16,0,0,209,16,33700000000.0,1,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36800,16,1,0,608,16,33700000000.0,1,56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,16,0,0,692,16,33700000000.0,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,16,0,0,608,16,33700000000.0,1,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2095,16,0,0,608,16,33700000000.0,1,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,16,0,0,608,16,33700000000.0,1,83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,608,0,525800000000.0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7636,0,0,0,540,0,525800000000.0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1200000,0,0,0,540,0,525800000000.0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595900,0,0,0,644,0,525800000000.0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,683,0,525800000000.0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,498,0,525800000000.0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,540,0,525800000000.0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103400,0,1,0,540,0,525800000000.0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210000,0,1,0,536,0,525800000000.0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
891700,0,0,0,590,0,525800000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240300,0,0,0,540,0,525800000000.0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593800,0,0,0,387,0,525800000000.0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267500,0,0,0,104,0,525800000000.0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256300,0,1,0,113,0,525800000000.0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772200,0,0,0,540,0,525800000000.0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248700,0,1,0,540,0,525800000000.0,1,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,603,0,525800000000.0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551200,0,0,0,540,0,525800000000.0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282000,0,0,0,540,0,525800000000.0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349800,0,0,0,617,0,525800000000.0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406900,0,0,0,221,0,525800000000.0,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471500,0,1,0,265,0,525800000000.0,1,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400000,0,0,0,80,0,525800000000.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789300,0,0,0,522,0,525800000000.0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594400,0,0,0,540,0,525800000000.0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487400,0,0,0,540,0,525800000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406500,7,0,0,11,7,68200000000.0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380400,7,0,0,617,7,68200000000.0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1290,7,0,0,540,7,68200000000.0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266600,7,0,0,574,7,68200000000.0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22200,7,0,0,540,7,68200000000.0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694200,7,0,0,540,7,68200000000.0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300500,7,0,0,617,7,68200000000.0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
